"","word","n"
"584","ticket blue",9
"585","till come",9
"586","time bring",9
"587","time dear",9
"588","time dream",9
"589","time hear",9
"590","time kiss",9
"591","time look",9
"592","time rockies",9
"593","time year",9
"594","today tomorrow",9
"595","touch hand",9
"596","treat like",9
"597","troubadour troubadour",9
"598","true dream",9
"599","wait long",9
"600","walk floor",9
"601","walk look",9
"602","want arm",9
"603","want kiss",9
"604","waste time",9
"605","white christmas",9
"606","willou willou",9
"607","wish wish",9
"608","wonderland meadow",9
"609","world better",9
"610","yeah baby",9
"611","zinga boom",9
"612","arm arm",8
"613","arm naughty",8
"614","armbreaker amir",8
"615","asleep count",8
"616","away laugh",8
"617","baby cause",8
"618","band angels",8
"619","basket bet",8
"620","better home",8
"621","blue away",8
"622","blue think",8
"623","cause time",8
"624","chain bind",8
"625","change mind",8
"626","clack chugga",8
"627","click clack",8
"628","come finish",8
"629","come go",8
"630","come life",8
"631","come mama",8
"632","credit music",8
"633","cry heart",8
"634","cry tenderness",8
"635","darling dearest",8
"636","darling love",8
"637","darling true",8
"638","dayo dayo",8
"639","dayo light",8
"640","days come",8
"641","dear forever",8
"642","dear long",8
"643","dear stay",8
"644","dear true",8
"645","dearest darling",8
"646","deride tear",8
"647","devil watch",8
"648","die prelude",8
"649","die smoke",8
"650","dirt gold",8
"651","dizzy gillespie",8
"652","dollars dirt",8
"653","dong click",8
"654","everytime goodbye",8
"655","eye open",8
"656","eye prelude",8
"657","eye wide",8
"658","fall slowly",8
"659","felt like",8
"660","finish pay",8
"661","flam flam",8
"662","flame die",8
"663","fly away",8
"664","fool pity",8
"665","fool think",8
"666","forget forget",8
"667","friends deride",8
"668","funny money",8
"669","game play",8
"670","gently cry",8
"671","gershwin touch",8
"672","ghetto walkin",8
"673","giddyup giddyup",8
"674","gigolo gigolette",8
"675","girl world",8
"676","give away",8
"677","go baby",8
"678","go blue",8
"679","go round",8
"680","go today",8
"681","goodbye leave",8
"682","hand everybody",8
"683","hand heart",8
"684","hand understand",8
"685","hand walk",8
"686","hear heart",8
"687","hear know",8
"688","hear lonesome",8
"689","heart apart",8
"690","heart cry",8
"691","heart hold",8
"692","heart life",8
"693","heart song",8
"694","heart stand",8
"695","heartbreak hotel",8
"696","heavenly dream",8
"697","hide smile",8
"698","hold near",8
"699","hole bucket",8
"700","home play",8
"701","home tell",8
"702","hurry hurry",8
"703","imagination run",8
"704","jericho battle",8
"705","jericho wella",8
"706","jezebel devil",8
"707","kiss goodnight",8
"708","know better",8
"709","know bind",8
"710","know start",8
"711","know world",8
"712","laugh friends",8
"713","leave come",8
"714","leave world",8
"715","life away",8
"716","like hear",8
"717","like play",8
"718","line phone",8
"719","little tenderness",8
"720","live live",8
"721","lonesome whistle",8
"722","long lonely",8
"723","look people",8
"724","lose mind",8
"725","love care",8
"726","madlib mix",8
"727","modern world",8
"728","money time",8
"729","night cold",8
"730","night want",8
"731","olden days",8
"732","pass away",8
"733","place smile",8
"734","play like",8
"735","prelude die",8
"736","produce madlib",8
"737","put egg",8
"738","rain fall",8
"739","rest days",8
"740","rock rock",8
"741","seat save",8
"742","shadow wall",8
"743","sight tonight",8
"744","simple turn",8
"745","sing heaven",8
"746","sittin rockin",8
"747","slip away",8
"748","song gently",8
"749","soon know",8
"750","spring hang",8
"751","starry eye",8
"752","start fall",8
"753","stay home",8
"754","strange strange",8
"755","strange woman",8
"756","stranger paradise",8
"757","swear true",8
"758","tell blue",8
"759","tenderness eye",8
"760","tennessee credit",8
"761","thank baby",8
"762","thing woman",8
"763","things go",8
"764","things look",8
"765","think doubt",8
"766","think make",8
"767","thrill blueberry",8
"768","till time",8
"769","time leave",8
"770","time need",8
"771","time right",8
"772","tomorrow tomorrow",8
"773","touch song",8
"774","treat right",8
"775","trust heart",8
"776","tumble stay",8
"777","tune gershwin",8
"778","turn symphony",8
"779","vive vive",8
"780","want heart",8
"781","want near",8
"782","want time",8
"783","want work",8
"784","warm embrace",8
"785","wide missouri",8
"786","wide open",8
"787","word mean",8
"788","world away",8
"789","world forget",8
"790","world go",8
"791","young young",8
"792","afraid masquerade",7
"793","anno heave",7
"794","awake know",7
"795","away californio",7
"796","away long",7
"797","away tear",7
"798","baby believe",7
"799","baby blue",7
"800","baby face",7
"801","baby goin",7
"802","baby kiss",7
"803","baby ready",7
"804","baby tell",7
"805","beat daddy",7
"806","begin beguine",7
"807","begin sing",7
"808","black hand",7
"809","blow boys",7
"810","blue say",7
"811","blue want",7
"812","blue yeah",7
"813","bone come",7
"814","bring charm",7
"815","bring happiness",7
"816","card play",7
"817","cause believe",7
"818","cause deep",7
"819","cause heart",7
"820","cause like",7
"821","chair fill",7
"822","charm spring",7
"823","clear stay",7
"824","cold hearted",7
"825","cold lonely",7
"826","collar devil",7
"827","come cause",7
"828","come great",7
"829","come little",7
"830","come sake",7
"831","cooley contain",7
"832","crocus rosebud",7
"833","darling tell",7
"834","days gonna",7
"835","days spend",7
"836","delicious delovely",7
"837","doubt today",7
"838","dream away",7
"839","dream think",7
"840","dream till",7
"841","dream white",7
"842","drift away",7
"843","early morning",7
"844","easy remember",7
"845","everybody hand",7
"846","eye certain",7
"847","eye chaff",7
"848","eye dear",7
"849","eye know",7
"850","eye look",7
"851","face whatcha",7
"852","fancy time",7
"853","feel better",7
"854","feel good",7
"855","feel melancholy",7
"856","fill despair",7
"857","fireman fray",7
"858","fly high",7
"859","fool fame",7
"860","fool mentality",7
"861","fool poor",7
"862","fool rush",7
"863","foolish things",7
"864","forget like",7
"865","forget people",7
"866","fuck fuck",7
"867","ghost riders",7
"868","girl leave",7
"869","go kiss",7
"870","go slowly",7
"871","gonna leave",7
"872","gonna stay",7
"873","good fine",7
"874","hard card",7
"875","hard forget",7
"876","hate lose",7
"877","hatfield eliminate",7
"878","head head",7
"879","hear begin",7
"880","hear play",7
"881","hear whistle",7
"882","heart eye",7
"883","heart fill",7
"884","heart gonna",7
"885","heart home",7
"886","heart keep",7
"887","heart leave",7
"888","heart tear",7
"889","heart try",7
"890","hebrew children",7
"891","hold closer",7
"892","home dayo",7
"893","hurt somebody",7
"894","jezebel jezebel",7
"895","kiss baby",7
"896","kiss hear",7
"897","kiss simple",7
"898","kiss want",7
"899","knack paddiwack",7
"900","knick knack",7
"901","knockin door",7
"902","know blue",7
"903","know charm",7
"904","know feel",7
"905","know happen",7
"906","know heaven",7
"907","know like",7
"908","know live",7
"909","know reason",7
"910","know remember",7
"911","know speak",7
"912","late kiss",7
"913","laugh think",7
"914","learnin blue",7
"915","life begin",7
"916","life good",7
"917","life like",7
"918","like baby",7
"919","like ball",7
"920","like cry",7
"921","like fool",7
"922","like party",7
"923","line time",7
"924","line wanna",7
"925","little thing",7
"926","little things",7
"927","lonely night",7
"928","long black",7
"929","long heart",7
"930","long kiss",7
"931","long walkin",7
"932","love forget",7
"933","love true",7
"934","lovely flame",7
"935","lovely sweeter",7
"936","make stop",7
"937","mean thing",7
"938","melancholy spring",7
"939","miss warm",7
"940","mix cooley",7
"941","movies know",7
"942","near spite",7
"943","necessarily necessarily",7
"944","night hold",7
"945","night little",7
"946","night repeat",7
"947","night train",7
"948","nothin till",7
"949","paddiwack bone",7
"950","paper baby",7
"951","part cold",7
"952","pass fancy",7
"953","pip call",7
"954","play boogiewoogie",7
"955","play knickknack",7
"956","pose cause",7
"957","prayer care",7
"958","pretty little",7
"959","promise darling",7
"960","radio telephone",7
"961","rain word",7
"962","raindrops play",7
"963","real feel",7
"964","reality time",7
"965","refrain spring",7
"966","remember hard",7
"967","repeat night",7
"968","ribbon darkness",7
"969","right like",7
"970","ring ring",7
"971","roll grams",7
"972","roll like",7
"973","sacrifice come",7
"974","save life",7
"975","see crocus",7
"976","september september",7
"977","shine world",7
"978","simple heart",7
"979","sing miss",7
"980","sing spring",7
"981","sing sweet",7
"982","skin sacrifice",7
"983","sleep count",7
"984","sleep tight",7
"985","slowly time",7
"986","smile lovely",7
"987","smile smile",7
"988","somebody brbuddy",7
"989","song hear",7
"990","soon solitude",7
"991","sportscenter sportscenter",7
"992","spring face",7
"993","spring september",7
"994","star appear",7
"995","stare know",7
"996","start feel",7
"997","stay sing",7
"998","stay year",7
"999","stop begin",7
"1000","suck suck",7
"1001","summer go",7
"1002","sweet mean",7
"1003","sweet refrain",7
"1004","sweet song",7
"1005","sweeter roses",7
"1006","sweetheart meet",7
"1007","take place",7
"1008","teach tonight",7
"1009","tell go",7
"1010","thank satisfy",7
"1011","thing leave",7
"1012","things know",7
"1013","things life",7
"1014","things remind",7
"1015","think leave",7
"1016","time blue",7
"1017","time feel",7
"1018","time like",7
"1019","time stay",7
"1020","tonight night",7
"1021","tonight right",7
"1022","toss turn",7
"1023","true hair",7
"1024","try hard",7
"1025","tune time",7
"1026","upset baby",7
"1027","voice come",7
"1028","walkin round",7
"1029","walkin winter",7
"1030","want live",7
"1031","wed bell",7
"1032","wham thank",7
"1033","whisper raindrops",7
"1034","white collar",7
"1035","wing feel",7
"1036","wonder wonder",7
"1037","world treat",7
"1038","yeah fool",7
"1039","yeah right",7
"1040","yearn know",7
"1041","american folksong",6
"1042","anema core",6
"1043","angels come",6
"1044","answer propose",6
"1045","aree wide",6
"1046","arm adorable",6
"1047","aroll aree",6
"1048","asittin balcony",6
"1049","atchison topeka",6
"1050","away hear",6
"1051","away heave",6
"1052","away home",6
"1053","away know",6
"1054","away rest",6
"1055","away runnin",6
"1056","away sleep",6
"1057","baby comin",6
"1058","baby completely",6
"1059","baby nothin",6
"1060","baby sweet",6
"1061","baby swing",6
"1062","baby time",6
"1063","baby true",6
"1064","bag money",6
"1065","beat beat",6
"1066","beat like",6
"1067","beautiful fool",6
"1068","beautiful sight",6
"1069","begin cause",6
"1070","believe eye",6
"1071","believe goin",6
"1072","believe lonely",6
"1073","believe need",6
"1074","bind answer",6
"1075","bird be",6
"1076","bird sing",6
"1077","bless instead",6
"1078","blind heart",6
"1079","block good",6
"1080","blood blood",6
"1081","blood run",6
"1082","blue bluest",6
"1083","blue like",6
"1084","blue mood",6
"1085","blue send",6
"1086","blue tear",6
"1087","blue world",6
"1088","bluest blue",6
"1089","blunder hold",6
"1090","body grave",6
"1091","boogiewoogie play",6
"1092","boom zinga",6
"1093","borrow today",6
"1094","boulevard break",6
"1095","bout talkin",6
"1096","bowlin green",6
"1097","boys blow",6
"1098","brain like",6
"1099","brdoris somebody",6
"1100","bring little",6
"1101","build leak",6
"1102","busy spider",6
"1103","butterfly ball",6
"1104","californio heave",6
"1105","call today",6
"1106","care blue",6
"1107","care warm",6
"1108","cast spell",6
"1109","cause skin",6
"1110","certain heart",6
"1111","chaff gaily",6
"1112","chain heart",6
"1113","change know",6
"1114","change minor",6
"1115","change ways",6
"1116","charm arm",6
"1117","children good",6
"1118","christmas christmas",6
"1119","clean heart",6
"1120","clickety clack",6
"1121","close door",6
"1122","come away",6
"1123","come darling",6
"1124","come lovely",6
"1125","come papa",6
"1126","come soon",6
"1127","confidentially sweet",6
"1128","conspire dream",6
"1129","count motherfucking",6
"1130","crazy romance",6
"1131","create clean",6
"1132","creep dream",6
"1133","cry turn",6
"1134","dance roll",6
"1135","dance till",6
"1136","darlin fashion",6
"1137","darling return",6
"1138","darling think",6
"1139","daydream giddy",6
"1140","dear dream",6
"1141","dear heart",6
"1142","dear say",6
"1143","dear take",6
"1144","dear tell",6
"1145","dear want",6
"1146","deep diver",6
"1147","deny say",6
"1148","despair gloom",6
"1149","diamonds hard",6
"1150","different world",6
"1151","divine heart",6
"1152","double wide",6
"1153","dream face",6
"1154","dream know",6
"1155","dream sleep",6
"1156","dream star",6
"1157","dream walk",6
"1158","dreamy moon",6
"1159","drown tear",6
"1160","embrace till",6
"1161","everybody know",6
"1162","everyday strange",6
"1163","eye blue",6
"1164","eye smoke",6
"1165","face heart",6
"1166","face heaven",6
"1167","fall cold",6
"1168","fall fast",6
"1169","fall rain",6
"1170","fashion true",6
"1171","feel know",6
"1172","feel love",6
"1173","feel rain",6
"1174","feel tell",6
"1175","fight fight",6
"1176","fight young",6
"1177","fill heart",6
"1178","finer strange",6
"1179","flippedflipped flippedaflipped",6
"1180","floor honky",6
"1181","foggy river",6
"1182","fool beauty",6
"1183","foolish heart",6
"1184","foolish pride",6
"1185","foolish start",6
"1186","forever burn",6
"1187","forget heart",6
"1188","forget past",6
"1189","forget tell",6
"1190","fruit tree",6
"1191","gaily laugh",6
"1192","game gamble",6
"1193","gear blow",6
"1194","gettin tire",6
"1195","ghost crazy",6
"1196","giddy baby",6
"1197","girl sweet",6
"1198","go heaven",6
"1199","go linger",6
"1200","go roses",6
"1201","go string",6
"1202","goin ride",6
"1203","goin steady",6
"1204","golden days",6
"1205","gonna better",6
"1206","gonna break",6
"1207","gonna days",6
"1208","gonna hurt",6
"1209","gonna roll",6
"1210","gonna tell",6
"1211","good hebrew",6
"1212","good today",6
"1213","good yout",6
"1214","goodbye go",6
"1215","goodness know",6
"1216","gotta gotta",6
"1217","grams know",6
"1218","guy today",6
"1219","hallelujah hallelujah",6
"1220","hand hold",6
"1221","hasn ghost",6
"1222","haunt heart",6
"1223","haunt refrain",6
"1224","havin honky",6
"1225","head tail",6
"1226","hear call",6
"1227","hear sigh",6
"1228","heart darling",6
"1229","heart fool",6
"1230","heart go",6
"1231","heart hasn",6
"1232","heart instrumental",6
"1233","heart lose",6
"1234","heart moment",6
"1235","heart music",6
"1236","heart realize",6
"1237","heart remember",6
"1238","heart restore",6
"1239","heart serenade",6
"1240","heart stone",6
"1241","heart throw",6
"1242","heart time",6
"1243","heart true",6
"1244","heart walk",6
"1245","heaven door",6
"1246","heaven thing",6
"1247","help hand",6
"1248","hold baby",6
"1249","hold go",6
"1250","hold know",6
"1251","home band",6
"1252","home belong",6
"1253","home heart",6
"1254","home hurry",6
"1255","home know",6
"1256","home look",6
"1257","home sweet",6
"1258","honky tonkin",6
"1259","hopin come",6
"1260","hound rhythm",6
"1261","human tongue",6
"1262","hurt know",6
"1263","icicles form",6
"1264","independently blue",6
"1265","inside deny",6
"1266","instead sheep",6
"1267","instrumental break",6
"1268","instrumental bridge",6
"1269","intend independently",6
"1270","jamas long",6
"1271","jazz music",6
"1272","keep rain",6
"1273","kentucky long",6
"1274","kentucky shin",6
"1275","kick kick",6
"1276","kiss fine",6
"1277","kiss know",6
"1278","kiss miss",6
"1279","kiss night",6
"1280","kiss thrill",6
"1281","kiss time",6
"1282","knock door",6
"1283","know awake",6
"1284","know change",6
"1285","know girl",6
"1286","know hurt",6
"1287","know love",6
"1288","know real",6
"1289","know suckle",6
"1290","know turn",6
"1291","lack angeliqueo",6
"1292","lady sing",6
"1293","lalala lalala",6
"1294","late night",6
"1295","later conspire",6
"1296","laugh like",6
"1297","lead heaven",6
"1298","leave hop",6
"1299","leave lonely",6
"1300","leave sittin",6
"1301","life complete",6
"1302","life free",6
"1303","life go",6
"1304","light travel",6
"1305","like breathe",6
"1306","like die",6
"1307","like fall",6
"1308","like hold",6
"1309","like rain",6
"1310","linger dear",6
"1311","linger like",6
"1312","lips know",6
"1313","little girls",6
"1314","little kiss",6
"1315","little mean",6
"1316","live hour",6
"1317","live know",6
"1318","live world",6
"1319","lock door",6
"1320","lock take",6
"1321","lonely believe",6
"1322","lonely hours",6
"1323","lonely lonely",6
"1324","lonely lovely",6
"1325","long hold",6
"1326","long leave",6
"1327","lookin like",6
"1328","lord call",6
"1329","lord heaven",6
"1330","lose lonely",6
"1331","loss real",6
"1332","love somebody",6
"1333","love want",6
"1334","love ways",6
"1335","lovely look",6
"1336","lovely today",6
"1337","lovely work",6
"1338","lover come",6
"1339","lunch today",6
"1340","magic music",6
"1341","make feel",6
"1342","mama go",6
"1343","mama mama",6
"1344","mash potatoes",6
"1345","matter know",6
"1346","maybe completely",6
"1347","mean baby",6
"1348","mean life",6
"1349","mean things",6
"1350","meet busy",6
"1351","mentality reality",6
"1352","million lie",6
"1353","miss blue",6
"1354","miss regret",6
"1355","moment feel",6
"1356","money dance",6
"1357","money deal",6
"1358","moon kentucky",6
"1359","moon star",6
"1360","moonglow give",6
"1361","moonlight hear",6
"1362","moonlight kiss",6
"1363","mornin blow",6
"1364","mother nature",6
"1365","motherfucking bag",6
"1366","music go",6
"1367","nature like",6
"1368","need darling",6
"1369","niggas wasn",6
"1370","night baby",6
"1371","night know",6
"1372","night star",6
"1373","night today",6
"1374","nights suffer",6
"1375","open wide",6
"1376","pain say",6
"1377","pair eye",6
"1378","party baby",6
